porosity,tortuosity
0.88,1.028695349890293
0.9052,1.0115272791012921
0.8944,1.0159121656613914
0.8896,1.0352222416983925
0.9064,1.0144914365844815
0.9008,1.0172823799266777
0.8992,1.0149282352049356
0.8932,1.0401964848117162
0.906,1.0116854966575843
0.8884,1.029208214192565
0.8964,1.0199412076077052
0.88,1.0478445711038227
0.9164,1.0189354771370558
0.9012,1.0550497865373896
0.8776,1.030843260298052
0.8936,1.01796334326618
0.8964,1.029035378373979
0.9188,1.016689923758623
0.8996,1.0372724980612815
0.91,1.0224013457201775
0.898,1.0161203189912642
0.8804,1.0244976881566352
0.8988,1.0198555148550936
0.9032,1.0169066760152283
0.888,1.0224735083617058
0.8768,1.0516679180335775
0.9068,1.0171553036036876
0.9004,1.0127699361391618
0.8952,1.0289104159860405
0.902,1.0231057905541454
0.8844,1.0369914387954393
0.9104,1.0231975322069413
0.9296,1.0139578371753628
0.8896,1.0729498185753388
0.8984,1.0122774671062968
0.9072,1.0146524525465312
0.8916,1.0264444443287575
0.8936,1.018785195572476
0.9248,1.0221900122699872
0.902,1.0320522399455372
0.8888,1.0185973436167512
0.9056,1.0237498544023447
0.882,1.0242574047175013
0.902,1.0128913404616116
0.902,1.0255884826176431
0.8956,1.029248549506345
0.8896,1.0239167611922741
0.8736,1.018785195572476
0.89,1.0407297194912315
0.8992,1.0234990254377543
0.9068,1.01775200981599
0.8876,1.0261780789913215
0.9016,1.009419433779913
0.8988,1.0274093080852942
0.898,1.0202367788667126
0.9088,1.0404069556763957
0.8932,1.0166842197518702
0.896,1.0218007138091105
0.8872,1.0358348024235817
0.8636,1.0473386928426391
