porosity,tortuosity
0.7888,1.0847238487274555
0.8112,1.0373183099680643
0.7888,1.0442391355731808
0.7996,1.0441100680764055
0.8052,1.0577413869729986
0.7928,1.0301150166521256
0.7984,1.0443160886536753
0.8,1.0541179359448731
0.8132,1.0547575627147265
0.7988,1.0409411691141846
0.7972,1.0524626532891677
0.8084,1.0369277397174725
0.7912,1.0870168468808528
0.8068,1.0920926285012273
0.7996,1.0454107924425786
0.8044,1.0519225905987235
0.8072,1.0765070001134454
0.8124,1.0610518856105469
0.7932,1.0617526084332751
0.7992,1.065456118367926
0.8052,1.04755002629283
0.792,1.042002523225333
0.8116,1.0400124665693737
0.8008,1.0744160749219005
0.7944,1.055416326938804
0.7928,1.0632916589288035
0.7972,1.0451044947151145
0.7932,1.0727447225430686
0.7912,1.0491294029370217
0.8004,1.0495067631258446
0.8076,1.0653046129628416
0.7948,1.0889267865680479
0.7968,1.0513177693085698
0.8016,1.084922434215039
0.7972,1.0436278589476422
0.7948,1.0542786102519677
0.7976,1.0832854594529866
0.8056,1.0392594075291894
0.792,1.0477599772817023
0.7964,1.0495086154585604
0.794,1.068762321547425
0.7952,1.0794259076630466
0.7956,1.1047980739643182
0.8052,1.0763522742131915
0.798,1.072202139328411
0.7988,1.037253290769006
0.7856,1.0437592836092922
0.784,1.0504785041026103
0.8092,1.0535333237232296
0.7916,1.0530993487842317
0.7844,1.0544801587638466
0.7992,1.0560921583288316
0.8092,1.0559002975049274
0.8004,1.0766415242437255
0.7924,1.059458004749911
0.8008,1.0505366261657763
0.7832,1.0800780605628708
0.7988,1.0514031609175534
0.7932,1.0569357177571663
0.8056,1.0593678931227481
