porosity,tortuosity
0.5548,1.3212227781259704
0.55,1.2415840335468733
0.5636,1.2935476198481257
0.5636,1.2296375327151723
0.5412,1.2561640449066986
0.5452,1.229800522698077
0.5488,1.139986090422865
0.5356,1.1436681277988814
0.5432,1.4043165696853013
0.5452,1.3980418038575122
0.5652,1.1801831232199393
0.5576,1.6107429973712815
0.56,1.172245944400704
0.5496,1.301021450245982
0.5284,1.1699107945486644
0.554,1.1466551645686571
0.5568,1.1598352027113843
0.5368,1.1260956252802448
0.5476,2.1116835989153615
0.5608,1.1317270365680354
0.5588,1.237818063099657
0.5396,1.1665298099785466
0.5396,1.1556615713871328
0.55,1.0976319066039912
0.5792,1.129162018739033
0.554,1.14407373702926
0.5536,1.4005346462670922
0.5688,1.502483930637899
0.5476,1.2088494265406835
0.5508,1.388744679521504
0.5456,1.085436132445563
0.5396,1.2603482337468916
0.5544,1.8168895783801362
0.5612,1.1902964942136849
0.556,1.1682808924505326
0.5572,1.126890184149487
0.5472,1.4960620358561727
0.5516,1.0949964398030783
0.5692,1.5602262595889054
0.546,1.1056667250951768
0.5848,1.1587052000170275
0.544,1.3556305117903342
0.548,1.1358943842913956
0.5512,1.187888023493049
0.556,1.200808882388224
0.5584,1.268397196596441
0.536,1.3318014720010445
0.5636,1.1626325534147406
0.548,1.142991135261755
0.554,1.4380427810196623
0.5388,1.082118140645395
0.5344,1.1669534256503797
0.5596,1.461660293569967
0.5304,1.213211969747602
0.5548,1.2527462421994235
0.5568,1.3040845769529954
0.5624,1.2201481931105171
0.542,1.170342270356365
0.5556,1.2791839672804979
0.5384,1.3767617861695833


