porosity,tortuosity
0.6648,1.2222487254256378
0.648,1.095941239002469
0.6484,1.090503754361027
0.6476,1.1125830925559521
0.652,1.0893634777348196
0.6352,1.109893394098984
0.6388,1.1680860265341364
0.6784,1.0978078606455541
0.6644,1.150477662468403
0.656,1.1346597545652055
0.652,1.1033908264008194
0.652,1.0988187126057043
0.6444,1.0967764590795448
0.6532,1.1501756996121346
0.6492,1.1470871824963735
0.638,1.1266207358454303
0.6512,1.2106712160596658
0.6488,1.0664739761507842
0.6444,1.0972133870875629
0.6588,1.1241507043356476
0.654,1.1046913399404523
0.6532,1.2253833495999822
0.6556,1.147816532158344
0.6516,1.1825034317593712
0.6452,1.0878944527451522
0.6592,1.154423608697748
0.652,1.1249244137281003
0.6568,1.1695275925604844
0.6512,1.2547188351072847
0.6416,1.2179379305152533
0.6452,1.1055508701035002
0.6648,1.1622589243664356
0.6388,1.1225430581363947
0.6548,1.1893592974902805
0.6484,1.0729065841623786
0.6476,1.167096272741804
0.6492,1.154307370194731
0.6428,1.1921961802789651
0.6596,1.1334165516438066
0.6484,1.1686055509021924
0.656,1.176445754821039
0.6656,1.1196412516475183
0.6468,1.097716392545495
0.6384,1.1009428009144517
0.6484,1.152516939855443
0.6384,1.2026854858673182
0.6576,1.0845919836116449
0.642,1.3909132810564064
0.636,1.1153647934305992
0.6436,1.1080527132859728
0.662,1.2587559695094785
0.6552,1.108883334047669
0.654,1.178570796973923
0.6492,1.2762083438924943
0.654,1.0718533730647204
0.6584,1.1433771180595638
0.6476,1.0998523759587318
0.6456,1.145638268724581
0.6392,1.2075433630022419
0.644,1.2243773225854784
