porosity,tortuosity
0.5068,1.208445452591998
0.5072,1.809318067071587
0.4968,1.2338353960046458
0.4996,1.2204704961121746
0.494,1.2275149444518532
0.4992,1.3345455274824958
0.5096,1.6265223120909171
0.5128,1.6409837641410492
0.484,1.1141200631027914
0.4844,1.1085528752224691
0.4996,1.2964675905016565
0.5092,1.2444780054488593
0.4836,1.229886556279257
0.5088,1.4238684208510295
0.5288,1.1980050022858628
0.52,1.1512304996833882
0.5076,1.418616189975913
0.5016,1.4381171136434252
0.5012,1.3511449110735567
0.4936,1.1803378774957691
0.5188,1.4998240414009882
0.4956,1.7173826694159837
0.5,1.220912476775138
0.482,1.1155289527707273
0.5004,1.5412695722676868
0.5052,1.4499650693121442
0.5224,1.2151410439002837
0.5168,1.4162282438966503
0.4856,1.1049415433414478
0.506,1.4261352583407292
0.5028,1.354190593047497
0.496,1.2955080131049757
0.5192,1.2236873484679216
0.5156,1.2040950943381765
0.502,1.1351880540239576
0.506,1.7618805221053224
0.4976,1.6112233648808028
0.5164,1.2028801121827402
0.5036,1.1755496652729713
0.5132,1.8661454183051884
0.5076,1.1031294100093432
0.5248,1.1142702531615816
0.5016,1.3314786892870891
0.5024,1.128136424165692
0.5124,1.2338825564880511
0.5016,1.1446460059080648
0.492,1.404278624670253
0.5044,1.1906222383877574
0.4988,1.138134699286577
0.4948,1.3243475195530205
0.4864,1.3407854042823462
0.5064,1.3311317247864214
0.49,1.2353475807466356
0.5016,1.8408372598521388
0.504,1.4326221389762237
0.498,1.3340251735742763
0.4824,1.2015152121645574
0.504,1.1487787489340096
0.5072,1.1059214158695707
0.508,1.223080084267562

