porosity,tortuosity
0.7616,1.0849092756683707
0.7408,1.0936144973583986
0.7372,1.088552854293169
0.7504,1.086393645928788
0.756,1.0537939691393632
0.764,1.0495124083303113
0.7472,1.0821031904325833
0.7624,1.0521462753913151
0.7536,1.047826031873326
0.7428,1.0623052681684282
0.754,1.0582341062746756
0.748,1.0570949247616297
0.738,1.0722842321501262
0.7456,1.0887554408755573
0.7552,1.18799127365833
0.7616,1.0362587650117407
0.7412,1.139850243663682
0.7528,1.0942013517384084
0.7524,1.0453406311317484
0.7572,1.0533029924369006
0.7356,1.0782536466608352
0.74,1.1190442646339793
0.7536,1.0862814313641576
0.7376,1.059081367382109
0.7452,1.0528091898224645
0.7576,1.0942842231127141
0.7468,1.1727290600562423
0.7624,1.1059919895164716
0.7588,1.0645340194239814
0.758,1.0937112529478585
0.7368,1.1422877668022517
0.7472,1.0793405927102393
0.7596,1.0574175633011658
0.7408,1.0601487512080237
0.7524,1.0942436622248093
0.7476,1.0504532691179769
0.7384,1.0708869723301693
0.7528,1.0651078672367766
0.7488,1.0697187096877074
0.752,1.0875859743566691
0.7368,1.1261290008488647
0.7512,1.0701290927017144
0.7564,1.079454267470512
0.7516,1.0489711932014032
0.7532,1.0902444956978472
0.7464,1.0657899419892054
0.7408,1.1015662517957494
0.7452,1.1117544415560001
0.7552,1.0782615486511378
0.7572,1.0600403750797214
0.7408,1.1119957502316025
0.7328,1.0574863394228986
0.752,1.0731352922004118
0.7532,1.0574858603477506
0.7348,1.1155957672940968
0.772,1.0742153308461095
0.7588,1.0693670971801281
0.7376,1.1005947222906085
0.7488,1.0684451002139155
0.758,1.079731542530094
